Algoritmo|Iteracion|Piezas totales|Puntaje|Tiempo promedio|Lineas eliminadas|Altura max|Huecos|Singles|Doubles|Triples|Tetrises|Nivel
Hill Climbing|1|400|140800|0.0022656607627868654|155|6|3|101|14|6|2|16
Simulated Annealing|1|400|79400|0.0020678764581680297|115|22|11|68|17|3|1|12
Genetico|1|400|136300|0.0042451930046081545|150|12|9|67|22|9|3|16
Hill Climbing|2|400|154700|0.002466648817062378|158|2|1|82|23|6|3|16
Simulated Annealing|2|400|138600|0.0026982462406158446|152|9|8|85|20|5|3|16
Genetico|2|400|24600|0.0025212615728378296|60|22|19|29|9|3|1|7
Hill Climbing|3|400|113500|0.002181447148323059|140|22|19|88|18|4|1|15
Simulated Annealing|3|400|40900|0.0018926209211349487|82|22|16|40|16|2|1|9
Genetico|3|400|102900|0.003977804183959961|126|22|21|49|20|7|4|13
Hill Climbing|4|400|81300|0.001884480118751526|118|22|13|83|11|3|1|12
Simulated Annealing|4|400|108700|0.002687634229660034|132|22|15|69|21|3|3|14
Genetico|4|400|65700|0.0028796511888504028|100|22|8|53|15|3|2|11
Hill Climbing|5|400|146000|0.001646425724029541|153|9|4|97|12|4|5|16
Simulated Annealing|5|400|133800|0.0017920601367950439|156|5|1|87|25|5|1|16
Genetico|5|400|66100|0.002226557731628418|101|22|19|46|16|5|2|11
Hill Climbing|6|400|6300|0.0004011231660842895|26|22|13|7|2|5|0|3
Simulated Annealing|6|400|36900|0.0011642700433731079|79|22|16|45|11|4|0|8
Genetico|6|400|134400|0.0028993767499923707|147|16|10|63|22|8|4|15
Hill Climbing|7|400|133800|0.0015981948375701903|154|8|5|90|22|4|2|16
Simulated Annealing|7|400|144500|0.0017834514379501342|155|7|4|80|24|5|3|16
Genetico|7|400|153700|0.0029449206590652466|158|3|0|70|26|8|3|16
Hill Climbing|8|400|128000|0.001572607159614563|148|15|13|88|18|8|0|15
Simulated Annealing|8|400|50200|0.0012391316890716553|89|22|13|54|8|5|1|9
Genetico|8|400|139600|0.0029830873012542725|152|10|4|64|27|6|4|16
Hill Climbing|9|400|135600|0.0015034955739974976|150|12|8|91|16|5|3|16
Simulated Annealing|9|400|156700|0.001818864941596985|157|4|2|71|23|8|4|16
Genetico|9|400|150700|0.0028902298212051393|149|14|7|37|23|14|6|15
Hill Climbing|10|400|141700|0.0015557366609573364|156|5|1|93|22|5|1|16
Simulated Annealing|10|400|14600|0.0008279341459274292|47|22|11|20|10|1|1|5
Genetico|10|400|134500|0.0029104429483413695|152|12|3|57|32|9|1|16
Hill Climbing|11|400|128200|0.0013864177465438843|146|17|16|88|20|2|3|15
Simulated Annealing|11|400|149300|0.0017546385526657105|156|5|2|69|21|11|3|16
Genetico|11|400|57200|0.002231507897377014|94|22|11|39|12|9|1|10
Hill Climbing|12|400|145600|0.0016076964139938353|153|9|3|92|18|3|4|16
Simulated Annealing|12|400|144800|0.0018127655982971191|156|6|2|81|23|7|2|16
Genetico|12|400|141900|0.0027996110916137695|152|9|7|63|30|7|2|16
Hill Climbing|13|400|136100|0.001500316858291626|151|11|4|75|20|8|3|16
Simulated Annealing|13|400|136700|0.0018406736850738526|156|6|0|109|16|5|0|16
Genetico|13|400|141100|0.00295615553855896|153|9|4|77|28|4|2|16
Hill Climbing|14|400|140700|0.0014871609210968017|156|6|2|88|19|6|3|16
Simulated Annealing|14|400|145400|0.0018169724941253663|157|4|2|90|25|3|2|16
Genetico|14|400|153700|0.0029024159908294677|152|12|1|73|20|5|6|16
Hill Climbing|15|400|140900|0.0015591412782669067|155|7|4|97|15|8|1|16
Simulated Annealing|15|400|120000|0.0016113620996475219|138|22|17|78|18|4|3|14
Genetico|15|400|157700|0.002894809246063232|154|10|1|41|30|7|8|16
