Algoritmo|Iteracion|Piezas totales|Puntaje|Tiempo promedio|Lineas eliminadas|Altura max|Huecos|Singles|Doubles|Triples|Tetrises|Nivel|Alturas parciales
Hill Climbing|1|400|136200|0.0022298163175582886|156|5|2|93|23|3|2|16|[6, 9, 4, 7, 9, 8, 8, 10, 10, 12, 9, 8, 9, 11, 13, 8, 7, 12, 4]
Simulated Annealing|1|400|101100|0.0024957895278930665|131|22|27|80|17|3|2|14|[2, 3, 10, 8, 4, 5, 5, 4, 5, 13, 9, 7, 6, 5, 8, 14, 19, 22, 22]
Genetico|1|400|138500|0.0044395941495895385|148|15|10|62|26|6|4|15|[6, 7, 4, 6, 2, 5, 8, 4, 10, 10, 9, 9, 8, 11, 11, 9, 12, 13, 15]
Genetico nuevo|1|400|133400|0.0021807754039764402|149|15|11|65|29|6|2|15|[9, 10, 8, 8, 6, 7, 9, 11, 15, 11, 6, 12, 11, 9, 15, 13, 14, 17, 14]
Hill Climbing|2|400|133400|0.0024377763271331786|156|6|1|113|17|3|0|16|[5, 3, 6, 4, 4, 5, 6, 2, 4, 3, 5, 3, 4, 6, 5, 6, 5, 4, 6]
Simulated Annealing|2|400|144200|0.0027562379837036133|156|6|1|83|21|9|1|16|[2, 3, 4, 6, 4, 3, 6, 4, 4, 4, 4, 5, 8, 9, 4, 13, 4, 4, 5]
Genetico|2|400|147600|0.0045673495531082155|156|6|1|90|23|4|2|16|[4, 3, 6, 3, 3, 6, 5, 6, 4, 4, 2, 6, 7, 6, 8, 13, 10, 10, 4]
Genetico nuevo|2|400|2500|0.0005682981014251708|16|22|17|9|2|1|0|2|[10, 15, 16, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|3|400|149400|0.002394893169403076|155|7|0|88|17|7|3|16|[4, 3, 2, 6, 4, 4, 6, 4, 7, 8, 9, 15, 14, 10, 6, 5, 3, 3, 7]
Simulated Annealing|3|400|150700|0.0026344048976898195|151|12|7|82|17|5|5|16|[6, 4, 5, 4, 7, 15, 13, 12, 12, 12, 9, 10, 7, 7, 6, 8, 12, 13, 11]
Genetico|3|400|134500|0.004478586316108704|152|11|4|80|22|8|1|16|[5, 3, 8, 9, 4, 5, 12, 11, 10, 12, 9, 12, 7, 3, 7, 12, 12, 9, 10]
Genetico nuevo|3|400|49300|0.0014384138584136964|90|22|15|52|11|4|1|10|[5, 11, 10, 13, 13, 13, 14, 14, 15, 10, 16, 15, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|4|400|138200|0.0024354881048202514|158|3|0|97|23|5|0|16|[5, 4, 4, 5, 4, 8, 4, 5, 7, 6, 6, 7, 12, 15, 14, 10, 9, 11, 4]
Simulated Annealing|4|400|135600|0.0028033161163330076|157|5|2|108|20|3|0|16|[4, 5, 4, 2, 5, 2, 6, 4, 8, 4, 4, 4, 2, 2, 3, 2, 3, 6, 6]
Genetico|4|400|121200|0.004092233777046203|134|22|10|70|12|8|4|14|[4, 4, 6, 4, 6, 2, 3, 3, 5, 8, 8, 7, 13, 11, 10, 14, 17, 22, 22]
Genetico nuevo|4|400|18400|0.001123465895652771|53|22|20|24|10|3|0|6|[6, 5, 3, 7, 6, 9, 8, 21, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|5|400|137700|0.0025171059370040893|158|3|0|132|7|4|0|16|[7, 4, 3, 3, 6, 5, 2, 4, 3, 5, 3, 2, 4, 3, 3, 4, 4, 4, 3]
Simulated Annealing|5|400|137400|0.0027806955575942994|156|5|2|118|14|2|1|16|[3, 4, 5, 3, 3, 8, 5, 4, 2, 3, 4, 3, 4, 4, 3, 5, 5, 7, 8]
