Algoritmo|Iteracion|Piezas totales|Puntaje|Tiempo promedio|Lineas eliminadas|Altura max|Huecos|Singles|Doubles|Triples|Tetrises|Nivel|Alturas parciales
Hill Climbing|1|400|36300|0.004467511773109436|74|22|44|52|6|2|1|8|[4, 5, 4, 7, 6, 4, 5, 5, 11, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Simulated Annealing|1|400|57300|0.006106444001197815|90|22|6|41|8|7|3|10|[4, 3, 3, 6, 5, 7, 3, 7, 4, 6, 9, 19, 22, 22, 22, 22, 22, 22, 22]
Genetico|1|400|144900|0.014712985754013062|152|10|4|68|24|8|3|16|[5, 6, 7, 6, 7, 7, 8, 7, 11, 10, 7, 5, 5, 6, 18, 16, 13, 11, 9]
Genetico nuevo|1|400|26500|0.003982659578323364|62|22|18|26|13|2|1|7|[3, 2, 2, 6, 5, 7, 10, 13, 21, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|2|400|133100|0.008023058772087097|153|9|3|113|12|4|1|16|[4, 4, 2, 7, 2, 3, 2, 6, 7, 4, 2, 4, 5, 4, 8, 5, 6, 7, 9]
Simulated Annealing|2|400|133800|0.008835189938545228|156|5|1|101|23|3|0|16|[4, 3, 3, 5, 8, 4, 6, 7, 5, 6, 8, 10, 11, 10, 9, 7, 3, 5, 5]
Genetico|2|400|128700|0.01293008029460907|144|20|13|76|20|4|4|15|[4, 15, 14, 15, 15, 18, 13, 16, 17, 16, 14, 15, 14, 17, 16, 18, 18, 19, 18]
Genetico nuevo|2|400|105500|0.006595561504364014|133|22|18|75|22|2|2|14|[5, 4, 3, 3, 7, 6, 10, 10, 9, 9, 7, 9, 9, 14, 13, 14, 13, 22, 22]
Hill Climbing|3|400|140200|0.007354503273963928|153|11|4|91|17|4|4|16|[8, 5, 7, 4, 7, 6, 6, 2, 3, 4, 2, 5, 6, 6, 12, 5, 8, 5, 11]
Simulated Annealing|3|400|141500|0.008672448992729186|155|8|2|90|19|5|3|16|[3, 3, 7, 7, 5, 5, 4, 7, 8, 5, 4, 5, 8, 7, 9, 5, 4, 5, 7]
Genetico|3|400|9600|0.005854960680007935|35|22|13|17|3|4|0|4|[6, 6, 6, 7, 17, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico nuevo|3|400|15300|0.0027751052379608155|45|22|18|13|11|2|1|5|[12, 11, 7, 8, 10, 13, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|4|400|148800|0.007108785510063172|157|4|0|96|16|7|2|16|[10, 8, 12, 8, 6, 7, 10, 6, 6, 4, 3, 4, 4, 3, 4, 7, 4, 4, 4]
Simulated Annealing|4|400|138300|0.008584223985671997|153|10|1|93|17|6|2|16|[3, 2, 3, 2, 3, 2, 4, 5, 6, 4, 6, 5, 6, 5, 3, 7, 7, 4, 9]
Genetico|4|400|5500|0.004979547262191773|25|22|12|7|3|4|0|3|[5, 7, 12, 13, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Genetico nuevo|4|400|20100|0.0028624731302261354|53|22|14|20|7|5|1|6|[11, 14, 10, 18, 14, 11, 18, 20, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
Hill Climbing|5|400|140800|0.007094762325286865|158|2|1|110|16|4|1|16|[2, 4, 3, 4, 8, 4, 4, 4, 6, 13, 8, 11, 7, 7, 9, 7, 4, 3, 3]
Simulated Annealing|5|400|134400|0.008316874504089355|157|5|2|119|16|2|0|16|[4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 5, 7, 5, 8, 8, 7, 6]
Genetico|5|400|145700|0.01421441912651062|158|4|0|72|30|6|2|16|[5, 8, 10, 6, 3, 8, 10, 6, 8, 10, 8, 16, 8, 11, 9, 5, 6, 3, 4]
Genetico nuevo|5|400|8900|0.0028932946920394898|35|22|16|21|4|2|0|4|[6, 4, 6, 10, 16, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]
